,Unnamed: 0,customer_id,contract_type,sex,age,pref,payway,identified_doc,career,domain,region,entry_age,selling_method,campaign,amount,paid_flg,customer_rank,arrears_at,arrears_count,bill_updage_count
2421,2421,994487830,1,1,37,22,2,1,12,0,T,36,1,L,3240,0,50,99,0,1
4861,4861,995043763,1,1,45,12,2,1,11,0,T,44,1,L,6169,0,50,99,0,0
3312,3312,255175677,1,1,32,**,4,1,12,0,D,32,1,a,600,0,30,99,0,0
2011,2011,993837296,1,2,22,9,4,6,#,0,T,19,1,a,480,0,20,99,0,0
1060,1060,995434676,1,2,64,**,4,1,#,500,K,62,1,L,120,0,50,99,0,0
5714,5714,503215004,1,2,48,23,2,1,#,0,C,29,1,L,2770,0,40,10,3,0
1777,1777,992146702,1,2,36,11,4,1,11,0,T,34,1,L,8485,0,80,99,0,1
1017,1017,506682160,1,2,29,**,4,1,#,0,C,14,1,L,400,0,80,99,0,0
5140,5140,244325915,1,2,47,**,3,1,11,500,K,47,1,L,380,0,60,99,0,0
5828,5828,956637901,1,1,30,10,4,1,11,0,T,22,1,a,960,0,90,99,0,1
7122,7122,247292868,1,2,47,11,2,21,#,0,T,47,1,L,2678,1,3,3,10,1
7461,7461,248591015,1,1,23,21,3,1,#,0,C,21,1,R,324,0,50,99,0,0
3881,3881,607416832,1,1,41,**,4,1,#,0,K,33,1,L,486,0,100,99,0,1
1413,1413,249558429,1,2,45,40,2,1,#,0,Q,45,1,L,16,0,30,99,0,1
2157,2157,616046563,1,1,37,13,4,1,#,0,K,29,1,L,1558,0,120,99,0,1
7449,7449,956252554,1,2,34,26,4,1,11,0,K,28,1,a,1007,0,120,99,0,1
1157,1157,942300234,1,2,49,**,4,1,12,0,C,43,1,L,113,0,100,99,0,0
1402,1402,301089791,1,2,44,13,4,99,#,0,T,23,1,L,1220,0,100,99,0,1
6245,6245,803619638,1,2,42,35,2,99,#,0,N,27,1,L,1652,0,70,99,0,0
2360,2360,256216364,1,1,71,13,4,6,#,500,T,71,1,L,2149,0,30,99,0,0
212,212,966175206,1,2,31,**,2,1,11,0,C,28,1,L,1007,0,70,99,0,1
6788,6788,956547674,1,2,25,7,2,1,11,0,H,18,1,a,8070,0,40,10,2,0
5400,5400,253234034,1,1,17,33,4,1,16,500,N,55,1,L,240,0,20,99,0,0
4249,4249,960199542,1,2,52,44,4,1,11,0,T,47,1,L,1540,0,100,99,0,0
598,598,947010864,1,2,27,23,4,1,#,0,C,21,1,L,1833,1,10,4,2,1
4039,4039,246808177,1,1,25,**,4,1,12,0,T,23,1,a,960,0,80,99,0,0
1353,1353,515882047,1,1,31,23,4,1,#,0,C,19,1,a,1706,0,100,99,0,0
2929,2929,986052334,1,1,44,15,4,1,12,500,T,41,1,L,300,0,90,99,0,0
180,180,253481157,1,2,41,11,4,26,#,0,T,39,1,a,240,0,5,99,0,0
1240,1240,315983482,1,2,51,13,2,1,#,0,T,40,1,L,630,0,70,99,0,1
3325,3325,301301562,1,1,54,13,4,99,#,0,T,34,1,L,120,0,150,99,0,1
5595,5595,955942292,1,2,30,27,4,10,11,0,K,25,1,L,3802,0,100,99,0,0
555,555,961245368,1,1,38,23,2,1,11,0,C,34,1,L,100,0,60,99,0,0
5755,5755,955192889,1,2,45,**,90,1,#,0,T,40,1,L,3000,0,100,99,0,1
5456,5456,248807972,1,2,41,28,4,1,#,500,K,39,1,L,960,0,90,99,0,0
7219,7219,947683531,1,2,30,22,4,1,11,0,C,21,1,a,1007,0,150,99,0,1
6597,6597,963305581,1,2,19,13,4,1,12,0,T,41,1,L,2014,0,110,99,0,1
1945,1945,987629174,1,2,63,1,2,21,12,0,D,61,1,L,521,1,0,3,7,0
2999,2999,200726750,1,1,45,15,2,1,#,0,H,26,1,L,240,0,130,99,0,0
3794,3794,515361860,1,2,35,23,4,99,#,0,C,24,1,L,1007,0,110,99,0,1
7485,7485,975354401,1,1,33,40,4,1,11,0,Q,30,1,L,1080,0,100,99,0,0
5831,5831,968504528,1,1,35,10,2,1,11,0,T,32,1,L,240,0,30,8,2,0
6934,6934,982295436,1,1,17,22,2,8,#,0,C,15,1,L,3000,1,3,5,7,0
974,974,946987130,1,2,20,14,2,17,#,0,T,14,1,L,400,0,0,10,3,0
4239,4239,979991456,1,1,4,43,2,1,#,0,Q,28,1,L,900,0,100,99,0,0
4977,4977,996814915,1,2,26,1,2,8,#,500,D,26,#,#,950,1,100,3,10,0
4454,4454,954087729,1,1,27,28,2,1,11,0,K,22,1,L,237,0,100,99,0,0
1738,1738,246561450,1,1,21,4,4,1,11,500,H,19,#,9,1440,0,100,99,0,0
5963,5963,248510994,1,2,45,24,4,1,11,0,C,45,1,L,1200,0,70,99,0,0
5722,5722,327112626,1,2,37,14,4,1,11,0,T,26,1,L,540,0,100,99,0,0
6322,6322,328597924,1,2,51,26,4,1,#,0,T,41,1,a,16800,0,90,99,0,0
5805,5805,403543664,1,1,53,36,4,1,11,0,S,43,1,L,174,0,140,99,0,0
2062,2062,972191223,1,2,44,1,4,10,12,0,D,40,1,L,432,0,100,99,0,0
2752,2752,255213244,1,1,56,8,2,1,11,0,T,56,1,L,17237,0,40,99,0,1
4649,4649,514649222,1,2,32,13,2,1,#,0,C,16,1,a,14580,0,80,99,0,0
404,404,328079370,2,#,0,13,2,1,#,0,T,999,1,L,1512,0,100,99,0,0
5421,5421,945436534,1,1,35,**,4,1,11,0,T,26,1,L,540,0,100,99,0,0
3906,3906,977961698,1,2,42,33,4,1,16,500,N,39,1,L,216,0,100,99,0,0
2763,2763,972364410,1,2,20,27,4,1,#,0,K,56,1,a,2000,0,20,99,0,1
959,959,258904453,1,2,17,**,2,8,#,500,K,17,1,L,720,0,5,99,0,0
3516,3516,997573598,1,1,20,15,2,21,#,0,T,20,1,L,2230,0,3,4,9,0
4401,4401,244877192,1,1,33,12,2,1,11,500,T,33,1,L,3540,0,50,99,0,1
6460,6460,245250903,1,2,42,40,4,1,11,0,Q,42,1,L,3000,0,70,99,0,0
5814,5814,251311700,1,1,20,13,3,27,#,500,T,20,0,#,15722,1,20,99,0,0
1393,1393,204402610,1,1,27,**,2,1,#,0,H,16,1,L,1530,0,40,10,3,0
4753,4753,252116884,1,1,12,**,2,1,#,500,T,44,1,L,717,0,20,99,0,0
4360,4360,940313388,1,2,50,13,2,8,#,0,T,43,1,L,1500,1,3,10,3,1
5303,5303,995935499,1,2,30,11,4,1,12,0,T,29,1,a,564,0,100,99,0,0
5072,5072,804407739,1,1,76,34,4,99,#,0,N,66,0,L,1,0,50,99,0,0
5154,5154,984625135,1,1,59,**,2,1,#,500,N,58,1,L,626,0,0,3,9,0
1954,1954,254328833,1,1,27,10,2,1,#,500,T,26,1,L,1023,0,50,99,0,1
76,76,314967285,1,1,59,14,4,99,#,0,T,42,1,L,1058,0,50,99,0,1
1513,1513,305143783,1,2,38,13,4,99,#,0,T,24,1,L,25408,0,130,99,0,1
4057,4057,987063619,1,2,51,16,4,1,12,0,R,50,1,L,324,0,100,99,0,0
2073,2073,250250234,1,1,43,**,2,1,11,500,T,42,1,L,450,0,50,99,0,1
499,499,995057989,1,1,41,44,4,1,12,0,Q,40,1,L,500,0,70,99,0,1
403,403,997411795,1,2,16,38,2,1,#,0,S,39,1,L,1700,1,0,3,7,1
2346,2346,247476433,1,2,56,12,4,1,12,500,T,54,1,L,1080,0,90,99,0,1
7293,7293,983356352,1,2,20,47,2,99,11,0,Q,18,1,L,324,0,10,99,0,0
2325,2325,253672884,1,2,42,**,2,1,#,500,T,42,1,L,1350,0,5,99,0,1
7250,7250,983659913,1,1,34,13,4,6,12,0,T,29,1,a,700,0,80,99,0,1
7504,7504,979110383,1,1,27,4,2,1,12,0,H,24,1,a,324,1,100,10,3,0
2970,2970,993943380,1,1,27,13,2,8,12,500,T,24,1,L,3000,0,40,99,0,0
6966,6966,516484647,1,2,42,24,4,1,11,0,C,34,1,L,529,0,80,99,0,1
7181,7181,946175779,1,2,49,27,4,1,12,0,T,44,1,L,360,0,100,99,0,0
2175,2175,991683523,1,1,16,14,4,1,11,0,T,51,1,L,1,0,20,99,0,0
1050,1050,952251299,1,1,28,**,4,1,#,0,Q,20,1,a,324,0,100,99,0,0
2104,2104,949210206,1,1,24,12,4,17,12,0,T,18,1,L,120,0,100,99,0,1
6545,6545,306086015,1,1,38,13,4,1,#,0,T,26,1,L,240,0,100,99,0,1
3030,3030,503171927,1,2,36,23,4,1,#,0,C,14,1,a,540,0,100,99,0,0
4159,4159,258560263,1,2,45,**,2,1,12,0,Q,45,1,a,1620,1,30,99,0,0
2726,2726,248685427,1,1,34,**,4,1,#,500,T,33,1,L,1500,0,100,99,0,0
1692,1692,703527222,1,1,21,16,3,1,#,0,R,11,1,L,1760,0,70,99,0,0
4394,4394,942123714,1,1,41,12,4,1,11,0,T,34,1,L,324,0,100,99,0,0
50,50,991959668,1,2,58,**,2,1,11,500,Q,56,1,L,480,0,50,99,0,0
1531,1531,251047007,1,2,76,28,2,21,#,500,K,76,1,L,400,1,3,99,0,0
4140,4140,204648479,1,1,65,3,2,8,#,0,H,15,1,L,6720,0,50,99,0,0
