,customer_id,contract_type,sex,age,pref,payway,identified_doc,career,domain,region,entry_age,selling_method,campaign,amount,paid_flg,customer_rank,arrears_at,arrears_count,bill_updage_count
206,988214902,1,1,24,23,3,8,11,0,C,23,1,L,,,,,,
207,983363287,1,2,13,18,4,1,11,0,R,30,1,L,2400,0,,,,
208,240905684,1,2,16,23,4,1,#,0,C,56,1,L,,,,,,
209,976972674,1,1,37,27,4,1,#,0,K,35,1,L,,,,,,
210,902079399,1,1,69,44,2,99,#,0,Q,50,1,a,,,,,,
211,267716773,1,2,63,**,2,1,12,500,N,62,1,L,,,,,,
212,970621500,1,2,48,**,4,10,#,0,T,45,1,L,,,,,,
213,990095624,1,1,65,1,2,1,12,500,D,63,1,L,,,,,,
214,941792903,1,2,42,37,2,1,#,0,S,42,1,L,324,1,100,8,5,0
215,960580020,1,1,49,**,2,1,#,0,K,45,1,M,,,,,,
216,265636095,1,2,23,**,4,1,11,0,Q,22,1,a,,,,,,
217,240838013,2,#,0,13,2,16,#,0,T,999,51,9,,,,,,
218,601266395,1,2,55,26,2,1,#,0,K,36,0,L,,,,,,
219,962220582,2,#,0,23,2,3,#,0,T,999,51,#,,,,,,
220,507533253,1,2,61,23,2,1,#,0,C,49,1,L,,,,,,
221,260549133,1,1,53,24,4,99,#,0,C,53,1,L,,,,,,
222,968845861,1,2,32,14,2,1,#,0,T,29,1,L,,,,,,
223,263196336,2,#,0,27,1,3,#,0,T,999,51,9,,,,,,
224,983050563,1,1,17,23,2,1,#,0,C,37,1,L,540,0,100,99,0,0
225,991003477,1,2,57,13,4,1,11,500,T,56,1,L,,,,,,
226,800686933,1,1,69,31,2,99,#,0,N,51,1,0,,,,,,
227,978911697,1,1,74,40,2,99,#,0,Q,71,1,L,,,,,,
228,994497862,1,2,47,**,3,1,#,500,T,46,1,R,,,,,,
229,978152962,1,2,52,12,2,1,#,0,T,50,1,L,,,,,,
230,990867218,1,2,50,**,4,1,12,0,S,49,1,R,,,,,,
231,251803494,1,1,37,34,4,1,11,500,N,37,1,L,9670,0,90,99,0,1
232,994458284,1,1,37,**,4,1,11,500,R,36,1,L,,,,,,
233,951692789,1,1,37,**,4,1,11,0,T,32,1,L,,,,,,
234,963901455,1,1,43,**,4,1,#,0,T,41,1,M,,,,,,
235,403281983,1,1,39,37,2,1,#,0,S,25,1,L,,,,,,
236,996898672,1,1,36,**,2,1,#,500,H,34,#,9,,,,,,
237,308779665,2,#,0,1,1,3,#,0,T,999,51,#,,,,,,
238,958698330,1,2,58,**,4,1,11,0,T,53,1,L,,,,,,
239,956713433,2,#,0,13,2,1,#,0,T,999,1,L,,,,,,
240,256646082,2,#,0,**,90,99,#,0,T,999,#,9,,,,,,
241,966280919,2,#,0,22,2,16,#,0,T,999,1,L,,,,,,
242,963884660,1,1,34,13,4,1,#,0,T,30,#,#,,,,,,
243,963604441,1,1,43,**,4,1,#,0,T,41,1,M,,,,,,
244,604172346,1,1,49,26,4,1,#,0,K,29,1,L,840,0,100,99,0,0
245,943523515,1,1,28,27,2,99,#,0,K,22,1,L,,,,,,
246,249957817,1,1,53,13,2,1,#,500,T,53,#,#,1998,0,50,99,0,1
247,970574131,1,2,36,**,2,1,11,0,C,32,1,L,,,,,,
248,986492387,1,2,55,**,4,1,12,0,T,54,1,L,25428,0,80,99,0,1
249,961497290,1,2,60,11,4,99,#,0,T,56,1,M,,,,,,
250,952207846,1,1,42,8,3,1,#,0,T,38,1,M,,,,,,
251,901797960,1,1,50,40,2,99,#,0,Q,33,1,L,648,0,80,99,0,0
252,950925520,1,2,27,27,4,1,11,0,T,23,1,L,,,,,,
253,945106480,1,2,27,**,3,1,#,0,K,20,1,L,324,0,100,99,0,0
254,507817999,1,1,28,**,2,1,#,0,C,15,1,a,540,0,100,99,0,0
255,987476212,1,1,18,**,2,1,11,0,T,45,1,a,324,0,100,99,0,0
256,268352585,1,2,42,32,2,1,#,0,N,41,1,a,,,,,,
257,967119727,1,2,35,20,4,10,#,0,T,33,61,P,,,,,,
258,970256533,1,1,26,3,2,1,15,0,T,23,1,L,,,,,,
259,508570956,1,#,0,22,4,1,#,0,C,35,1,0,,,,,,
260,316635532,1,1,49,8,2,1,#,0,T,36,1,L,,,,,,
261,403785604,1,2,47,38,2,1,#,0,S,39,1,L,,,,,,
262,245446339,1,2,47,23,2,1,16,500,C,45,1,L,,,,,,
263,801420812,1,1,51,34,2,99,#,0,N,35,1,L,,,,,,
264,964723827,1,1,40,**,3,1,#,0,K,38,#,#,,,,,,
265,970789462,2,#,0,40,2,1,12,0,T,999,1,L,,,,,,
266,991959668,1,2,58,**,2,1,11,500,Q,56,1,L,480,0,50,99,0,0
267,942419685,1,2,33,28,4,1,12,0,K,26,1,L,324,0,110,99,0,1
268,243531921,1,2,50,**,3,1,#,500,T,48,#,9,130,0,,,,
269,204383966,1,1,39,13,2,99,#,0,H,25,1,a,1080,0,70,99,0,1
270,994730708,2,#,0,13,1,3,#,0,T,999,51,#,,,,,,
271,956118549,1,2,16,35,2,1,#,0,N,30,1,L,,,,,,
272,264467980,1,1,50,47,4,1,#,0,Q,48,1,a,,,,,,
273,978336193,1,1,41,17,4,1,#,0,T,39,1,L,,,,,,
274,989802655,1,2,18,23,2,1,#,0,C,43,1,a,1262,0,100,99,0,0
275,941728409,1,1,64,**,4,1,#,0,C,58,1,L,,,,,,
276,243872351,1,1,41,**,3,1,#,0,T,41,1,L,1007,0,50,99,0,1
277,308416726,1,2,75,**,2,1,#,0,T,66,1,0,,,,,,
278,944208050,1,2,32,8,4,10,11,0,T,26,1,L,,,,,,
279,614875780,1,1,73,28,2,1,#,0,K,62,1,L,,,,,,
280,994212724,1,1,49,**,4,1,#,0,Q,45,1,a,5400,0,70,99,0,0
281,996588042,2,#,0,13,1,99,#,0,T,999,51,#,,,,,,
282,943453221,2,#,0,13,4,3,#,0,T,999,1,M,,,,,,
283,500768829,1,1,52,23,4,1,#,0,C,32,1,L,,,,,,
284,986173868,2,#,0,1,2,1,12,0,T,999,1,R,,,,,,
285,966832020,1,1,35,39,4,1,#,0,S,31,#,#,,,,,,
286,967401280,1,1,46,**,2,1,12,0,K,42,1,L,,,,,,
287,252010418,1,2,23,22,4,1,11,0,C,28,1,L,,,,,,
288,947015067,1,1,24,22,3,8,#,0,C,20,1,L,,,,,,
289,249379849,2,#,0,27,1,3,16,0,T,999,0,9,,,,,,
290,984716064,1,1,33,40,4,1,11,0,Q,32,1,L,8621,0,90,99,0,1
291,604596288,1,2,35,27,4,8,#,0,K,19,1,L,,,,,,
292,306761369,1,2,40,11,2,26,#,0,T,29,1,L,,,,,,
293,987986180,1,2,43,4,4,1,#,500,H,42,1,L,,,,,,
294,943154522,1,2,31,28,4,1,11,0,K,22,1,a,324,1,100,10,3,0
295,308986596,2,#,0,13,2,1,11,0,T,999,1,0,,,,,,
296,251175629,2,#,0,13,1,3,#,0,T,999,1,L,,,,,,
297,960775670,1,1,54,13,4,1,#,0,T,52,1,L,,,,,,
