,Unnamed: 0,customer_id,contract_type,sex,age,pref,payway,identified_doc,career,domain,region,entry_age,selling_method,campaign,amount,paid_flg,customer_rank,arrears_at,arrears_count,bill_updage_count
915,915,246775160,1,1,24,12,2,1,#,0,T,23,1,R,1000,0,20,6,2,0
921,921,945446009,1,2,21,22,2,1,#,0,C,15,1,L,324,0,130,99,0,0
922,922,309870239,1,1,44,**,2,1,11,0,T,36,1,L,10000,0,80,99,0,0
926,926,968627411,1,1,48,**,4,1,#,500,Q,45,1,L,240,0,90,99,0,0
936,936,248930615,1,1,31,23,4,1,#,500,C,31,#,#,864,0,40,99,0,0
941,941,300815272,1,2,40,13,2,6,#,0,T,19,1,L,324,0,100,99,0,0
942,942,325747130,1,2,31,11,2,1,#,0,T,19,1,L,324,1,3,3,10,0
943,943,241574867,1,1,15,**,2,1,#,500,T,44,1,L,500,0,1,3,6,1
945,945,956301346,1,2,31,13,4,1,#,0,T,23,1,a,11439,0,90,99,0,1
947,947,243207663,1,2,30,**,2,1,11,0,Q,30,1,L,296,0,50,99,0,1
956,956,983162387,1,1,16,37,2,99,#,0,S,48,1,L,1511,0,20,99,0,0
962,962,968108694,1,2,27,40,4,10,12,0,Q,23,1,L,324,0,110,99,0,0
963,963,959100901,1,2,28,**,3,1,#,0,K,21,1,a,960,1,0,10,3,0
966,966,327130640,1,2,22,14,4,99,#,0,T,41,1,L,500,0,60,99,0,0
969,969,249246334,1,2,47,**,4,1,11,0,T,47,1,L,2018,0,80,99,0,1
971,971,965349359,1,1,34,13,4,26,11,0,T,27,1,a,324,0,100,99,0,0
972,972,804741005,1,1,62,33,2,99,#,0,N,50,1,L,1080,0,50,10,1,1
975,975,944973383,1,2,49,**,2,1,11,0,T,43,1,L,2080,0,130,99,0,1
977,977,313364444,1,2,41,13,4,1,#,0,T,22,1,L,424,0,110,99,0,0
984,984,327595405,1,1,32,11,2,1,11,0,T,24,1,L,980,0,60,99,0,0
986,986,324908142,1,2,55,8,4,99,#,0,T,43,1,L,324,0,100,99,0,0
989,989,253032758,1,2,38,23,4,1,#,500,C,36,1,L,4040,0,80,99,0,0
990,990,986824796,1,1,25,2,2,1,12,0,H,24,1,L,1,0,50,99,0,0
991,991,250854256,1,2,22,29,2,1,12,0,K,22,1,L,594,0,50,99,0,1
992,992,996155558,1,2,31,**,2,1,12,0,S,31,1,L,960,0,50,99,0,0
993,993,983483452,1,2,48,17,4,1,#,0,R,47,1,L,8100,0,90,99,0,1
996,996,940948973,1,2,29,14,2,17,11,0,T,20,1,a,194,0,80,99,0,1
1002,1002,240981954,1,2,47,46,4,1,#,0,Q,47,1,L,120,0,70,99,0,1
1003,1003,988938540,1,2,45,**,4,1,12,0,D,37,1,L,1,1,20,99,0,0
1007,1007,907474962,1,2,24,43,2,1,#,0,Q,33,1,a,324,0,100,99,0,0
1008,1008,956361344,1,2,28,13,3,8,11,0,K,20,1,a,324,0,100,99,0,0
1010,1010,200539204,1,1,43,13,4,1,#,0,H,24,1,L,864,0,100,99,0,0
1014,1014,305856505,1,1,45,12,4,1,#,0,T,30,1,L,250,0,110,99,0,0
1015,1015,605348561,1,2,36,28,4,1,#,0,K,21,1,L,200,0,140,99,0,1
1020,1020,242070007,1,2,16,33,4,1,11,0,N,43,1,L,574,0,20,99,0,0
